date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-07-27,3985.57,4051.16,3725.56,3720.44,5560032.5,-345.35,-8.48,3992.822,3946.694,3898.265,5544068.6,5556983.55,6048095.55
2015-07-28,3573.14,3762.53,3663.0,3537.36,5633300.5,-62.56,-1.68,3921.888,3920.545,3867.554,5662152.6,5449754.8,5975172.25
2015-07-29,3689.82,3792.07,3789.17,3612.06,4343521.0,126.17,3.44,3874.512,3918.892,3854.327,5489392.4,5282805.6,5892963.58
2015-07-30,3773.79,3844.37,3705.77,3685.96,4579432.5,-83.4,-2.2,3790.882,3907.151,3843.977,5278107.0,5248492.65,5828927.4
2015-07-31,3655.67,3729.51,3663.73,3620.17,3509557.5,-42.04,-1.13,3709.446,3877.789,3842.817,4725168.8,5117722.15,5730323.73
2015-08-03,3614.99,3648.94,3622.91,3549.5,3639687.25,-40.82,-1.11,3688.916,3840.869,3835.167,4341099.75,4942584.18,5496738.44
2015-08-04,3621.85,3757.03,3756.54,3601.29,3629016.75,133.63,3.69,3707.624,3814.756,3836.639,3940243.0,4801197.8,5328779.93
2015-08-05,3745.65,3782.35,3694.57,3676.39,3664229.75,-61.97,-1.65,3688.704,3781.608,3846.008,3804384.75,4646888.58,5171812.96
2015-08-06,3625.5,3710.57,3661.54,3614.74,2740746.75,-33.03,-0.89,3679.858,3735.37,3843.618,3436647.6,4357377.3,4980393.0
2015-08-07,3692.61,3756.74,3744.2,3686.3,3407571.75,82.66,2.26,3695.952,3702.699,3836.938,3416250.45,4070709.63,4857589.46
2015-08-10,3786.03,3943.62,3928.42,3775.85,4973043.0,184.22,4.92,3757.054,3722.985,3834.839,3682921.6,4012010.68,4784497.11
2015-08-11,3928.81,3970.34,3927.91,3891.18,5389234.5,-0.51,-0.01,3791.328,3749.476,3835.01,4034965.15,3987604.08,4718679.44
2015-08-12,3881.23,3937.77,3886.32,3871.14,4426883.0,-41.59,-1.06,3829.678,3759.191,3839.041,4187495.8,3995940.28,4639372.94
2015-08-13,3869.91,3955.79,3954.56,3838.16,4300733.0,68.24,1.76,3888.282,3784.07,3845.611,4499493.05,3968070.33,4608281.49
2015-08-14,3976.41,4000.68,3965.33,3939.84,4679882.0,10.77,0.27,3932.508,3814.23,3846.01,4753955.1,4085102.78,4601412.46
2015-08-17,3947.84,3994.54,3993.67,3907.4,4604320.5,28.34,0.71,3945.558,3851.306,3846.088,4680210.6,4181566.1,4562075.14
2015-08-18,3999.13,4006.34,3748.16,3743.39,5437708.0,-245.51,-6.15,3909.608,3850.468,3832.612,4689905.3,4362435.22,4581816.51
2015-08-19,3646.8,3811.43,3794.11,3558.38,4753962.5,45.95,1.23,3891.166,3860.422,3821.015,4755321.2,4471408.5,4559148.54
2015-08-20,3754.57,3788.01,3664.29,3663.61,3900630.5,-129.82,-3.42,3833.112,3860.697,3798.034,4675300.7,4587396.88,4472387.09
2015-08-21,3609.96,3652.84,3507.74,3490.54,3699204.75,-156.55,-4.27,3741.594,3837.051,3769.875,4479165.25,4616560.18,4343634.9
2015-08-24,3373.48,3388.36,3209.91,3191.88,3346718.0,-297.83,-8.49,3584.842,3765.2,3744.092,4227644.75,4453927.68,4232969.18
2015-08-25,3004.13,3123.03,2964.97,2947.94,3523251.0,-244.94,-7.63,3428.204,3668.906,3709.191,3844753.35,4267329.33,4127466.7
2015-08-26,2980.79,3092.04,2927.29,2850.71,4666996.5,-37.68,-1.27,3254.84,3573.003,3666.097,3827360.15,4291340.68,4143640.48
2015-08-27,2978.03,3085.42,3083.59,2906.49,4003084.0,156.3,5.34,3138.7,3485.906,3634.988,3847850.85,4261575.78,4114823.05
2015-08-28,3125.26,3235.84,3232.35,3102.95,4431369.5,148.76,4.82,3083.622,3412.608,3613.419,3994283.8,4236724.53,4160913.65
2015-08-31,3203.56,3207.86,3205.99,3109.16,3974313.75,-26.36,-0.82,3082.838,3333.84,3592.573,4119802.95,4173723.85,4177644.98
2015-09-01,3157.83,3180.33,3166.62,3053.74,4324324.5,-39.37,-1.23,3123.168,3275.686,3563.077,4280017.65,4062385.5,4212410.36
2015-09-02,3027.68,3194.48,3160.17,3019.09,4381701.5,-6.45,-0.2,3169.744,3212.292,3536.357,4222958.65,4025159.4,4248283.95
2015-09-07,3149.38,3217.58,3080.42,3066.3,2964681.25,-79.75,-2.52,3169.11,3153.905,3507.301,4015278.1,3931564.48,4259480.68
2015-09-08,3054.44,3174.71,3170.45,3011.12,2554154.75,90.03,2.92,3156.73,3120.176,3478.613,3639835.15,3817059.48,4216809.83
2015-09-09,3182.55,3256.74,3243.09,3165.7,3753279.75,72.64,2.29,3164.15,3123.494,3444.347,3595628.35,3857715.65,4155821.66
2015-09-10,3190.55,3243.28,3197.89,3178.9,2732617.5,-45.2,-1.39,3170.404,3146.786,3407.846,3277286.95,3778652.3,4022990.81
2015-09-11,3189.48,3223.76,3200.23,3163.45,2245578.25,2.34,0.07,3178.416,3174.08,3373.542,2850062.3,3536510.48,3913925.58
2015-09-14,3221.17,3229.48,3114.8,3049.23,3466311.5,-85.43,-2.67,3185.292,3177.201,3331.553,2950388.35,3482833.23,3872204.5
2015-09-15,3043.8,3081.7,3005.17,2983.92,2491944.5,-109.63,-3.52,3152.236,3154.483,3283.546,2937946.3,3288890.73,3762807.63
2015-09-16,2998.04,3182.93,3152.26,2983.54,2775245.25,147.09,4.89,3134.07,3149.11,3241.475,2742339.4,3168983.88,3671353.86
2015-09-17,3131.98,3204.7,3086.06,3085.31,3176029.0,-66.2,-2.1,3111.704,3141.054,3208.37,2831021.7,3054154.33,3558269.91
2015-09-18,3100.28,3122.05,3097.92,3070.34,2091754.0,11.86,0.38,3091.242,3134.829,3173.56,2800256.85,2825159.58,3425159.49
2015-09-21,3072.09,3159.88,3156.54,3060.86,2398973.5,58.62,1.89,3099.59,3142.441,3148.173,2586789.25,2768588.8,3350076.64
2015-09-22,3161.32,3213.48,3185.62,3152.48,2747861.5,29.08,0.92,3135.68,3143.958,3132.067,2637972.65,2787959.48,3302509.48
2015-09-23,3137.72,3164.04,3115.89,3104.74,2363226.75,-69.73,-2.19,3128.406,3131.238,3127.366,2555568.95,2648954.17,3253334.91
2015-09-24,3126.49,3151.16,3142.69,3109.69,2128877.25,26.8,0.86,3139.732,3125.718,3136.252,2346138.6,2588580.15,3183616.23
2015-09-25,3130.85,3149.95,3092.35,3063.0,2362638.75,-50.34,-1.6,3138.618,3114.93,3144.505,2400315.55,2600286.2,3068398.34
2015-09-28,3085.57,3103.07,3100.76,3042.31,1567275.25,8.41,0.27,3127.462,3113.526,3145.364,2233975.9,2410382.58,2946607.9
2015-09-29,3055.22,3068.3,3038.14,3021.16,1632226.75,-62.62,-2.02,3097.966,3116.823,3135.653,2010848.95,2324410.8,2806650.76
2015-09-30,3052.84,3073.3,3052.78,3039.74,1466424.5,14.64,0.48,3085.344,3106.875,3127.993,1831488.5,2193528.73,2681256.3
2015-10-08,3156.07,3172.28,3143.36,3133.13,2342760.5,90.58,2.97,3085.478,3112.605,3126.83,1874265.15,2110201.88,2582178.1
